Doy,Rain,dt,Temp,Radiation,Relative Humidity,Wind,lat,long,elev,height,irr
206.35,0,0.01,30.13333333,372.2971111,74.51111111,3.188888889,14.24,102.69,295,2.5,0
206.36,0,0.01,30.35555556,401.3121111,74.14444444,4.1,14.24,102.69,295,2.5,0
206.37,0,0.01,30.78888889,497.1755556,72.22222222,3.7,14.24,102.69,295,2.5,0
206.38,0,0.01,31.4,580.6865556,70.38888889,4.366666667,14.24,102.69,295,2.5,0
206.39,0,0.01,31.94444444,617.8358889,67.91111111,5.077777778,14.24,102.69,295,2.5,0
206.4,0,0.01,32.31111111,646.3267778,66.91111111,3.588888889,14.24,102.69,295,2.5,0
206.41,0,0.01,32.43333333,581.7841667,67.41666667,3.516666667,14.24,102.69,295,2.5,0
206.42,0,0.01,32.3,576.5551111,66.9,4.522222222,14.24,102.69,295,2.5,0
206.43,0,0.01,32.46666667,678.7553333,65.08888889,6.133333333,14.24,102.69,295,2.5,0
206.44,0,0.01,32.87777778,676.4866667,64.83333333,4.744444444,14.24,102.69,295,2.5,0
206.45,0,0.01,32.9,664.7938889,64.64444444,7.288888889,14.24,102.69,295,2.5,0
206.46,0,0.01,33.06666667,726.5865556,63.58888889,5.711111111,14.24,102.69,295,2.5,0
206.47,0,0.01,33.03333333,573.2197778,64.51111111,3.855555556,14.24,102.69,295,2.5,0
206.48,0,0.01,32.63333333,365.2327778,65.43333333,4.211111111,14.24,102.69,295,2.5,0
206.49,0,0.01,32.4,538.0333333,65.56666667,7.166666667,14.24,102.69,295,2.5,0
206.5,0,0.01,32.33333333,338.9257778,67,3.788888889,14.24,102.69,295,2.5,0
206.51,0,0.01,32.73333333,599.6711111,65.37777778,4.633333333,14.24,102.69,295,2.5,0
206.52,0,0.01,33.1,695.2341111,64.23333333,6.711111111,14.24,102.69,295,2.5,0
206.53,0,0.01,33.12222222,642.8093333,64.01111111,7.7,14.24,102.69,295,2.5,0
206.54,0,0.01,32.76666667,464.5291111,65.05555556,6.033333333,14.24,102.69,295,2.5,0
206.55,0,0.01,32.74444444,597.2244444,65.16666667,6.344444444,14.24,102.69,295,2.5,0
206.56,0,0.01,33.04444444,598.8831111,63.55555556,7.777777778,14.24,102.69,295,2.5,0
206.57,0,0.01,33.15555556,463.1994444,64.75555556,4.9,14.24,102.69,295,2.5,0
206.58,0,0.01,33,435.589,65.16666667,5.283333333,14.24,102.69,295,2.5,0
206.59,0,0.01,33.24444444,464.9328889,65.48888889,2.322222222,14.24,102.69,295,2.5,0
206.6,0,0.01,33.41111111,588.6746667,64.4,5.055555556,14.24,102.69,295,2.5,0
206.61,0,0.01,32.71111111,329.439,66.02222222,5.433333333,14.24,102.69,295,2.5,0
206.62,0,0.01,31.5,157.2822222,71.32222222,4.155555556,14.24,102.69,295,2.5,0
206.63,0,0.01,31.63333333,298.6053333,72.25555556,3.266666667,14.24,102.69,295,2.5,0
206.64,0,0.01,31.47777778,272.5192222,70.66666667,5.266666667,14.24,102.69,295,2.5,0
206.65,0,0.01,29.41111111,153.2266667,74.85555556,6.344444444,14.24,102.69,295,2.5,0
206.66,0,0.01,29.31666667,188.3006667,74.93333333,3.683333333,14.24,102.69,295,2.5,0
206.67,0,0.01,29.52222222,227.938,74.71111111,2.044444444,14.24,102.69,295,2.5,0
206.68,0,0.01,29.58888889,204.412,74.92222222,3.011111111,14.24,102.69,295,2.5,0
206.69,0,0.01,29.46666667,168.6402222,74.7,3.377777778,14.24,102.69,295,2.5,0
206.7,0,0.01,29.47777778,162.5977778,74.74444444,2.055555556,14.24,102.69,295,2.5,0
206.71,0,0.01,29.32222222,118.5397778,74.82222222,2.755555556,14.24,102.69,295,2.5,0
206.72,0,0.01,28.96666667,83.40122222,76.23333333,1.644444444,14.24,102.69,295,2.5,0
206.73,0,0.01,28.7,73.68311111,77.17777778,2.122222222,14.24,102.69,295,2.5,0
206.74,0,0.01,28.66666667,54.29483333,78.13333333,1.95,14.24,102.69,295,2.5,0
206.75,0,0.01,28.37777778,32.99044444,78.24444444,1.477777778,14.24,102.69,295,2.5,0
206.76,0,0.01,27.98888889,18.62188889,78.62222222,1.222222222,14.24,102.69,295,2.5,0
206.77,0,0.01,27.62222222,6.828777778,80.15555556,0.744444444,14.24,102.69,295,2.5,0
206.78,0,0.01,27.25555556,3.333,81.44444444,1.133333333,14.24,102.69,295,2.5,0
206.79,0,0.01,27.01111111,2.940111111,82.8,0.144444444,14.24,102.69,295,2.5,0
206.8,0,0.01,26.65555556,3.594777778,84.54444444,0.288888889,14.24,102.69,295,2.5,0
206.81,0,0.01,26.54444444,3.725777778,84.88888889,0.177777778,14.24,102.69,295,2.5,0
206.82,0,0.01,26.52222222,3.725666667,84.34444444,0.144444444,14.24,102.69,295,2.5,0
206.83,0,0.01,26.51666667,1.827166667,84.76666667,0,14.24,102.69,295,2.5,0
206.84,0,0.01,26.34444444,2.285333333,86.27777778,0,14.24,102.69,295,2.5,0
206.85,0,0.01,26.31111111,3.332888889,87.33333333,0,14.24,102.69,295,2.5,0
206.86,0,0.01,26.15555556,1.892666667,86.9,0.722222222,14.24,102.69,295,2.5,0
206.87,0,0.01,26.18888889,3.071111111,86.62222222,0.9,14.24,102.69,295,2.5,0
206.88,0,0.01,26.16666667,3.071111111,86.76666667,1.211111111,14.24,102.69,295,2.5,0
206.89,0,0.01,26.21111111,3.071,87.06666667,1.177777778,14.24,102.69,295,2.5,0
206.9,0,0.01,26.11111111,2.809222222,86.91111111,1.922222222,14.24,102.69,295,2.5,0
206.91,0,0.01,26.03333333,3.398333333,86.5,2.05,14.24,102.69,295,2.5,0
206.92,0,0.01,25.94444444,3.987666667,86.48888889,0.977777778,14.24,102.69,295,2.5,0
206.93,0,0.01,25.92222222,3.594888889,86.42222222,0.577777778,14.24,102.69,295,2.5,0
206.94,0,0.01,25.78888889,3.071222222,87.05555556,0.066666667,14.24,102.69,295,2.5,0
206.95,0,0.01,25.54444444,2.285444444,88.16666667,0.322222222,14.24,102.69,295,2.5,0
206.96,0,0.01,25.42222222,3.463888889,88.95555556,0.5,14.24,102.69,295,2.5,0
206.97,0,0.01,25.51111111,3.463777778,88.87777778,0.744444444,14.24,102.69,295,2.5,0
206.98,0,0.01,25.58888889,3.201888889,88.47777778,0.755555556,14.24,102.69,295,2.5,0
206.99,0,0.01,25.56666667,2.809333333,88.4,0.8,14.24,102.69,295,2.5,0
207,0,0.01,25.53333333,3.202,88.7,0.844444444,14.24,102.69,295,2.5,0
207.01,0,0.01,25.44444444,4.118555556,88.86666667,1.622222222,14.24,102.69,295,2.5,0
207.02,0,0.01,25.4,3.202111111,89.26666667,1.322222222,14.24,102.69,295,2.5,0
207.03,0,0.01,25.28888889,3.332888889,89.86666667,1.866666667,14.24,102.69,295,2.5,0
207.04,0,0.01,25.24444444,3.071111111,90.13333333,2.488888889,14.24,102.69,295,2.5,0
207.05,0,0.01,25.24444444,3.182222222,90.17777778,3.166666667,14.24,102.69,295,2.5,0
207.06,0,0.01,25.25555556,2.940111111,90.07777778,3.133333333,14.24,102.69,295,2.5,0
207.07,0,0.01,25.24444444,3.725666667,89.87777778,4.333333333,14.24,102.69,295,2.5,0
207.08,0,0.01,25.18333333,4.184,90.23333333,4.75,14.24,102.69,295,2.5,0
207.09,0,0.01,25.11111111,3.725666667,90.41111111,2.266666667,14.24,102.69,295,2.5,0
207.1,0,0.01,25.05555556,3.071,90.48888889,1.855555556,14.24,102.69,295,2.5,0
207.11,0.064,0.01,25.02222222,3.463888889,90.5,1.611111111,14.24,102.69,295,2.5,0
207.12,0,0.01,25.01111111,2.940111111,90.66666667,1.222222222,14.24,102.69,295,2.5,0
207.13,0,0.01,25.03333333,3.725888889,90.4,0.866666667,14.24,102.69,295,2.5,0
